,,,,"Règle de Bender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qui,"URL  source",Année,Titre,Non-applicable,Appliquée,Non-appliquée,,Commentaires,"Langue traitée",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Déductible,Non-déductible,,en,de,fr,ja,zh,pt,ar,ko,uk,es,pl,ru,cs,fi,th,syr,sv,nl,wbp,it,hr,hch,tr,ro,hi,ur,ha,he,vi
A0,https://aclanthology.org/P83-1002.pdf,1983,"Factoring Recursion and Dependencies : an Aspect of Tree Adjoining Grammar (TAG) and a Comparison of Some Formal Properties of TAGS, GPSGS, PLGS, AND LPGS",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P83-1003.pdf,1983,"Crossed Serial Dependencies: A low-power parseable extension to GPSG",,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
A0,https://aclanthology.org/P83-1004.pdf,1983,"Formal Constraints on Metarules",,x,,,(warlpiri),x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,
A0,https://aclanthology.org/P83-1005.pdf,1983,"A Prolegomenon to Situation Semantics",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P83-1006.pdf,1983,"A Modal Temporal Logic for Reasoning about Change",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P83-1007.pdf,1983,"Providing a Unified Account of Definite Noun Phrases in Discourses",,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P83-1008.pdf,1983,"Using %-Calculus to Represent Meanings in Logic Grammars",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P83-1009.pdf,1983,"An Improper Treatment of Quantification in Ordinary English",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P83-1010.pdf,1983,"A Foundation for Semantic Interpretation",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P84-1001.pdf,1984,"Multilingual Text Processing in a Two-Byte Code",,x,,,"bcp de langues citées (en, fr, de, es, cz, vi, ru...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P84-1002.pdf,1984,"Conveying Implicit Content in Narrative Summaries",,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P84-1003.pdf,1984,"Transforming English Interfaces to Other Natural Languages: An Experiment With Portuguese",,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P84-1005.pdf,1984,"A Stochastic Approach to Sentence Parsing",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P84-1006.pdf,1984,"Bounded Context Parsing and Easy Learnability",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P84-1007.pdf,1984,"The Representation of Constituent Structures for Finite-State Parsing",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P84-1008.pdf,1984,"Features and Values",,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P84-1009.pdf,1984,"Applications of a Lexicographical Data Base for German",,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P84-1010.pdf,1984,"Denormalization and Cross Referencing in Theoretical Lexicography",,x,,,,x,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,
A0,https://aclanthology.org/P84-1011.pdf,1984,"Lexicon Features for Japanese Syntactic Analysis  in Mu-Project-JE",,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P85-1001.pdf,1985,"Semantics of Temporal Queries and Temporal Data",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P85-1002.pdf,1985,"Temporal Inferences in Medical Texts",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P85-1003.pdf,1985,"Tense, Aspect and the Cognitive Representation of Time ",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P85-1004.pdf,1985,"Classification of Modality Function and its Application to Japanese Language Analysis",,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P85-1005.pdf,1985,"Universality and Individuality: The Interaction of Noun Phrase Determiners in Copular Clauses",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P85-1013.pdf,1985,"Modular Logic Grammars",,x,,,"ou non-applicable car formalisme logique (mais appliqué sur anglais)",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P85-1014.pdf,1985,"New Approaches to Parsing Conjunctions Using Prolog",,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P85-1015.pdf,1985,"Parsing with Discontinuous Constituents",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P85-1016.pdf,1985,"Structure Sharing with Binary Trees",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P85-1017.pdf,1985,"A Structure-Sharing Representation for Unification-Based Grammar Formalisms",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P86-1001.pdf,1986,"Tutorial Abstracts",,,,x,"présente un futur travail mais sans dire quelle-s langue-s seront étudiées",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P86-1002.pdf,1986,"Bringing Natural Language Processing to the Microcomputer Market",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P86-1003.pdf,1986,"Time and Tense in English",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
